term_str,n,num,stop,p_stem,pos_max,p,s,i,h,wlen,df,idf,tfidf_sum_doc_max
,4733,0,0,,:,0.008711673605819316,114.78850623283331,6.842834382040571,0.05961253967501577,0,4,0.0,0.0
1,48,1,0,1,NN,8.834995416846127e-05,11318.625,13.466411088057779,0.0011897568024435636,1,3,0.41503749927884376,0.0032865871713077983
10,8,1,0,10,JJ,1.4724992361410212e-05,67911.75,16.051373588778933,0.0002363563534849114,2,3,0.41503749927884376,0.0005733791823325628
100,2,1,0,100,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
1000,1,1,0,1000,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
101,2,1,0,101,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
102,1,1,0,102,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
103,2,1,0,103,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
104,1,1,0,104,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
105,1,1,0,105,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
106,1,1,0,106,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
107,1,1,0,107,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
108,2,1,0,108,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
109,1,1,0,109,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
11,6,1,0,11,JJ,1.104374427105766e-05,90549.0,16.46641108805778,0.00018185083311861842,2,2,1.0,0.0010515601383528689
110,1,1,0,110,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
111,1,1,0,111,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
112,1,1,0,112,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
113,1,1,0,113,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
114,2,1,0,114,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
115,2,1,0,115,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
116,1,1,0,116,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
117,1,1,0,117,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
118,1,1,0,118,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
119,1,1,0,119,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
12,4,1,0,12,JJ,7.362496180705106e-06,135823.5,17.051373588778933,0.00012554067292316082,2,2,1.0,0.0006907446954519127
120,2,1,0,120,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
121,1,1,0,121,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
122,1,1,0,122,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
123,1,1,0,123,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
124,1,1,0,124,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
125,1,1,0,125,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
126,2,1,0,126,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
127,1,1,0,127,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
128,1,1,0,128,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
129,1,1,0,129,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
13,3,1,0,13,JJ,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,2,2,1.0,0.0005103369740014346
130,1,1,0,130,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
131,2,1,0,131,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
132,2,1,0,132,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
