term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
abhorrd,0.025,0.025,0.025,0.025,0.029749074174183713,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,7.134199436109886,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.9110514896998592,0.025,0.025,0.025
abhorréd,0.025,0.025,0.025,0.025,0.0250262608650994,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,12.021286919277275,0.025,0.025,0.025001147670108356,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.028685672169160924,0.025,0.025,0.025
abide,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,5.277544967473087,0.025,0.025,1.7724550325115405,0.025,0.025,0.025,0.025,0.025,2.0249999999987573,0.025,0.025000000000000005,0.025,0.025,0.025
abides,0.025,0.025,0.025,0.025,0.28327033883279334,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.7667296611477608,0.025000000000000015,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
abject,0.025,0.025,0.025,0.025,1.810166568924387,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.9098109259040332,0.025,0.025,0.3550225051542644,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ablest,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.024999999984886,0.025,0.025,1.0249999999992023,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
aboard,0.025,0.025,0.025,0.025,0.03229512093482581,0.025,0.025,0.025,1.0249999999990553,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,6.459286814113593,0.025,0.025,0.02500000081352533,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.5834180641194053,0.025,0.025,0.025
abode,0.025,1.000225214158047,0.025,0.025,10.508362267959274,0.025,0.025,0.025,2.2625718199134557,0.025,0.14194175575431775,0.025,0.025000000000000005,1.071078150507599,3.648022209931071,0.025,0.025,0.025,0.025,0.025,2.9999014235333936,0.025,0.025,0.025,0.025,18.263797693587225,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.329099464634809,0.025,0.025,0.02500000000000001
abodes,0.025,0.025,0.025,0.025,0.02500000000000001,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.057824843253944,0.025,0.025,0.025,0.025,0.025,0.025,0.025,16.99217513480683,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000612,0.025,0.025000021917821667,0.025,0.025,0.025
abroad,0.025,0.025,0.025,0.025,6.16868632255687,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,5.8813136774296915,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999991213,0.025,0.025,0.025
